"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/continuous-improvement-specialist-26741599965.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486554-200x200.jpg?v=1777375854","Continuous Improvement Specialist","Avery Dennison Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/associate-software-qa-analyst-26741572807.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486555-200x200.jpg?v=1777375855","Associate - Software QA Analyst","PwC (Vietnam) Ltd.","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/senior-creative-planner-26741545649.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/93622-200x200.jpg?v=1664164391","Senior Creative Planner","Công Ty Cổ Phần Truyền Thông Elyx","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/content-community-specialist-26741219753.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486551-200x200.jpg?v=1777374046","Content - Community Specialist","OPPO Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/senior-legal-counsel-26740350697.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/480408-200x200.jpg?v=1775098806","Senior Legal Counsel","The Chapel at Sai Gon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/ses-sales-tieng-nhat-n1-it-welcome-fresher-26961-binh-thanh-hcm-26724327477.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Ses Sales (Tiếng Nhật N1 / IT / Welcome Fresher) (26961) [Bình Thạnh , HCM]","Công Ty TNHH Reeracoen Việt Nam","15 - 25 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/ai-solution-engineer-lap-trinh-vien-fullstack-26731768769.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1091-200x200.jpg?v=1486477770","AI Solution Engineer (Lập Trình Viên Fullstack)","Công ty Cổ phần Xây dựng và Thương mại TTT","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-it-nhan-vien-lap-dat-va-sua-chua-may-in-may-photocopy-may-tinh-tan-binh-di-lam-ngay-26731442873.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/77614-200x200.jpg?v=1634705873","Nhân Viên IT / Nhân Viên Lắp Đặt Và Sửa Chữa Máy In, Máy Photocopy, Máy Tính - Tân Bình (Đi Làm Ngay)","Công Ty TNHH TM DV Quốc Tế Trường Thịnh Phát","8 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-chup-anh-su-kien-hoi-nghi-26433736877.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/5537-200x200.jpg?v=1694768555","Nhân Viên Chụp Ảnh (Sự Kiện, Hội Nghị)","Công Ty Cổ Phần In Hospitality","12 - 14 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","5 ngày trước"
"https://jobsgo.vn/viec-lam/kyc-checker-role-aml-implementation-team-12-month-contract-26730533080.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486459-200x200.jpg?v=1777345248","KYC Checker Role - AML Implementation Team (12 month contract)","Sumitomo Mitsui Banking Corporation Ho Chi Minh City Branch","Thỏa thuận","Thừa Thiên Huế, Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/art-director-26730546659.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486456-200x200.jpg?v=1777345238","Art Director","Công ty TNHH MT Cosmetics","23 - 46 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/analyst-account-service-team-japanese-korean-corporate-banking-department-asia-pacific-division-26730478764.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486459-200x200.jpg?v=1777345248","Analyst (Account Service Team) - Japanese & Korean Corporate Banking Department, Asia Pacific Division","Sumitomo Mitsui Banking Corporation Ho Chi Minh City Branch","Thỏa thuận","Thừa Thiên Huế, Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-phat-trien-san-pham-26730397290.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486456-200x200.jpg?v=1777345238","Chuyên Viên Phát Triển Sản Phẩm","Công ty TNHH MT Cosmetics","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/cad-pattern-maker-26726174221.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486424-200x200.jpg?v=1777330809","CAD Pattern Maker","Sae-A Vietnam Company Limited","11 - 16 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","5 ngày trước"
"https://jobsgo.vn/viec-lam/senior-esg-executive-26726024852.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486420-200x200.jpg?v=1777323620","Senior ESG Executive","ASIA Sai Gon Food Ingredients JSC","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-may-tinh-may-in-camera-26725956957.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/339896-200x200.jpg?v=1754919034","Nhân Viên Kỹ Thuật Máy Tính - Máy In - Camera","CÔNG TY TNHH DỊCH VỤ TIN HỌC TÂM ĐỨC COMPUTER","8 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","6 ngày trước"
"https://jobsgo.vn/viec-lam/australian-tax-accountant-26725698956.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486403-200x200.jpg?v=1777320067","Australian Tax Accountant","Goodland Outsourcing","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/teaching-assistant-26725563166.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486411-200x200.jpg?v=1777320091","Teaching Assistant","Renaissance International School Saigon","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/senior-compound-engineer-footwear-brand-hcmc-26725373060.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486393-200x200.jpg?v=1777316427","Senior Compound Engineer - Footwear Brand - HCMC","Page Group Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/finance-director-medical-devices-26725345902.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486393-200x200.jpg?v=1777316427","Finance Director (Medical Devices)","Page Group Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/technology-lead-client-solutions-delivery-26725278007.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486393-200x200.jpg?v=1777316427","Technology Lead - Client Solutions & Delivery","Page Group Vietnam","Thỏa thuận","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-di-lam-ngay-26724055897.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/65496-200x200.jpg?v=1624502501","Nhân Viên Kỹ Thuật - Đi Làm Ngay","Công Ty TNHH THN Việt Nam","7 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/bim-design-engineer-26723512737.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486346-200x200.jpg?v=1777280438","BIM Design Engineer","MT Hojgaard Vietnam Co., Ltd","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/business-process-solutions-senior-associate-hcm-office-26723078209.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486318-200x200.jpg?v=1777276944","Business Process Solutions - Senior Associate (HCM Office)","Grant Thornton (Vietnam) Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/ios-developer-swift-objective-c-26722697997.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486293-200x200.jpg?v=1777276843","iOS Developer (Swift/ Objective-C)","LITETRACE VIETNAM CO.,LTD","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/consultant-talent-learning-and-culture-26722725155.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486308-200x200.jpg?v=1777276894","Consultant, Talent Learning and Culture","NAB Innovation Centre Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/it-business-partner-26722589365.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486317-200x200.jpg?v=1777276942","IT Business Partner","Vietnam Australia International School (Vas)","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/product-management-executive-26722548628.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486302-200x200.jpg?v=1777276873","Product Management Executive","Meishang Cosmetics Vietnam (Colorkey BRAND)","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/mcu-software-engineer-embedded-systems-26722059784.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486293-200x200.jpg?v=1777276843","MCU Software Engineer (Embedded Systems)","LITETRACE VIETNAM CO.,LTD","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/advisory-experienced-analyst-hcm-office-26722032626.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486318-200x200.jpg?v=1777276944","Advisory Experienced Analyst - HCM Office","Grant Thornton (Vietnam) Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/planning-officer-26721991889.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486298-200x200.jpg?v=1777276861","Planning Officer","Chailease International Leasing Co., Ltd. (Head Office)","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/biology-teacher-26721041359.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486272-200x200.jpg?v=1777273231","Biology Teacher","Trường Quốc Tế Scotch AGS","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/physics-teacher-26721014201.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486272-200x200.jpg?v=1777273231","Physics Teacher","Trường Quốc Tế Scotch AGS","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/chemistry-teacher-26721027780.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486272-200x200.jpg?v=1777273231","Chemistry Teacher","Trường Quốc Tế Scotch AGS","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/accounts-receivable-executive-rebate-26720457462.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/20911-200x200.jpg?v=1708145756","Accounts Receivable Executive (Rebate)","Công Ty TNHH GS 25 Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/air-freight-specialist-26719262510.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/112738-200x200.jpg?v=1682563114","Air Freight Specialist","Công Ty TNHH Article Solutions Việt Nam","44 - 65 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","6 ngày trước"
"https://jobsgo.vn/viec-lam/ky-su-quan-ly-tien-do-26717931768.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/52919-200x200.jpg?v=1606731956","Kỹ Sư Quản Lý Tiến Độ","Công ty Cổ phần Tư vấn Xây dựng Điện 2","20 - 35 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/senior-developer-26717755241.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486233-200x200.jpg?v=1777212022","Senior Developer","RMIT University Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/data-protection-officer-26717388608.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/112561-200x200.jpg?v=1682474968","Data Protection Officer","Công Ty TNHH Minh MCC.Group Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-setup-studio-livestream-26717334292.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/484666-200x200.jpg?v=1776693640","Kỹ Thuật Viên Setup STUDIO LiveStream","CÔNG TY TNHH TRUYỀN THÔNG VÀ GIẢI TRÍ KENBI ENTERTAINMENT","Thỏa thuận","Hồ Chí Minh","Part-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/immigration-senior-global-mobility-services-26717347871.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/112561-200x200.jpg?v=1682474968","Immigration Senior, Global Mobility Services","Công Ty TNHH Minh MCC.Group Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-26717225660.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/402981-200x200.jpg?v=1766430028","Nhân Viên Kỹ Thuật","Medcomtech","10 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-may-in-chuyen-dung-26717049133.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/355321-200x200.jpg?v=1758115820","Nhân Viên Kỹ Thuật Máy In Chuyên Dụng","Công Ty TNHH To Vi Na","9 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/chief-accountant-26716601026.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486188-200x200.jpg?v=1777186857","Chief Accountant","Rieckermann Vietnam Ltd., Co.","34 - 46 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/senior-coordinator-air-operations-able-to-work-night-shifts-26716451657.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486181-200x200.jpg?v=1777186836","Senior Coordinator, Air Operations (Able to Work Night Shifts)","Fedex Logistics Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-ky-thuat-nang-luong-mat-troi-26715989971.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/90362-200x200.jpg?v=1658119842","Kỹ Thuật Viên Kỹ Thuật Năng Lượng Mặt Trời","Công Ty Cổ Phần Công Nghệ Bách Châu","9 - 18 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","7 ngày trước"
"https://jobsgo.vn/viec-lam/it-helpdesk-it-service-desk-lead-26712826064.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/428-200x200.jpg?v=1612495144","IT Helpdesk/ IT Service Desk Lead","Union Technology Corporation","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 4 năm","7 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-su-kien-26712350799.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486122-200x200.jpg?v=1777161624","Nhân Viên Kỹ Thuật Sự Kiện","CÔNG TY TNHH EYE TECH","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","7 ngày trước"
"https://jobsgo.vn/viec-lam/ux-ui-designer-26710667003.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486004-200x200.jpg?v=1777120228","UX/UI Designer","CÔNG TY TNHH GIẢI PHÁP SÁNG TẠO SDN","8 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","7 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-business-intelligence-26709879421.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/59498-200x200.jpg?v=1617270385","Nhân Viên Business Intelligence","Công ty TNHH Nha Khoa My Auris","12 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/products-designer-26709757210.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486058-200x200.jpg?v=1777147215","Products Designer","Công Ty Cổ Phần Takara Belmont Cosmetics","10 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/creative-graphic-designer-26709730052.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486059-200x200.jpg?v=1777147218","Creative Graphic Designer","ODM Group Ltd.","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-it-phu-trach-bao-mat-thong-tin-thuoc-bo-phan-kiem-soat-noi-bo-26709580683.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486049-200x200.jpg?v=1777143645","Nhân Viên IT Phụ Trách Bảo Mật Thông Tin Thuộc Bộ Phận Kiểm Soát Nội Bộ","Công Ty Aureole Expert Integrators INC. Thuộc Tập Đoàn Mitani Sangyo Co., Ltd. (Nhật Bản)","Từ 9 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/internal-audit-supervisor-26709118997.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/272234-200x200.jpg?v=1741148121","Internal Audit Supervisor","CÔNG TY CỔ PHẦN TẬP ĐOÀN ITL","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 6 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/digital-english-teacher-26708779522.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/400956-200x200.jpg?v=1766185218","Digital English Teacher","CÔNG TY CỔ PHẦN GIÁO DỤC & ĐÀO TẠO NHÂN TRÍ DŨNG","10 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-b2b-giai-phap-cong-nghe-26708765943.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/387159-200x200.jpg?v=1763731851","Nhân Viên Kinh Doanh (B2B - Giải Pháp Công Nghệ)","Công Ty Cổ Phần Giải Pháp Công Nghệ Green Smart","10 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-dieu-phoi-du-an-26708372152.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/357418-200x200.jpg?v=1758421811","Chuyên Viên Điều Phối Dự Án","CÔNG TY CỔ PHẦN SMART A VIỆT NAM","10 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/ky-su-system-cloud-26707367306.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1947-200x200.jpg?v=1487757478","Kỹ Sư System & Cloud","Công ty Cổ phần Phát triển Công nghệ Viễn thông Tin học Sun Việt","Thỏa thuận","Hồ Chí Minh","Full-time","Dưới 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-ky-thuat-26707258674.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/484883-200x200.jpg?v=1776751220","Nhân Viên Kỹ Thuật","CÔNG TY TNHH ĐỨC LAI TAM HÒA","15 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-trien-khai-he-thong-phan-mem-26706729093.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485965-200x200.jpg?v=1777109410","Thực Tập Sinh Triển Khai Hệ Thống Phần Mềm","CÔNG TY TNHH CÔNG NGHỆ XFLOW","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/quality-and-lean-intern-26706280986.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485943-200x200.jpg?v=1777100533","Quality and Lean Intern","Simpson Strong-Tie Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-ban-san-pham-tin-chap-ho-chi-minh-ta161-id3743-26706145196.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485953-200x200.jpg?v=1777100561","Chuyên Viên Chính/Chuyên viên Cao Cấp Bán Sản Phẩm Tín Chấp - Hồ Chí Minh - TA161 ID3743","VPBank - Https://tuyendung.vpbank.com.vn/","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/3d-artist-26705506983.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485943-200x200.jpg?v=1777100533","3D Artist","Simpson Strong-Tie Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/giam-sat-du-an-senior-project-supervisor-26705425509.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/74162-200x200.jpg?v=1631249980","Giám Sát Dự Án - Senior Project Supervisor","Công Ty TNHH Quảng Cáo Gia Nguyễn","12 - 16 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 2 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/drafter-fresher-middle-26705153929.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485943-200x200.jpg?v=1777100533","Drafter (Fresher/ Middle)","Simpson Strong-Tie Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/bim-designer-revit-autocad-26704882349.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485943-200x200.jpg?v=1777100533","BIM Designer - Revit/ AutoCAD","Simpson Strong-Tie Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/cg-quan-ly-san-pham-fx-kieu-hoi-ta189-id3643-26704719401.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485953-200x200.jpg?v=1777100561","CG Quản Lý Sản Phẩm (FX/Kiều Hối) - TA189 - ID3643","VPBank - Https://tuyendung.vpbank.com.vn/","Thỏa thuận","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/senior-ui-ux-designer-26704610769.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485943-200x200.jpg?v=1777100533","Senior UI/UX Designer","Simpson Strong-Tie Vietnam Company Limited","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/purchasing-assistant-26704121925.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/109394-200x200.jpg?v=1680257672","Purchasing Assistant","Công Ty TNHH Spdf Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/deployment-lead-worker-wellbeing-program-26704040451.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485906-200x200.jpg?v=1777096870","Deployment Lead – Worker Wellbeing Program","Lululemon Athletica Vietnam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/inventory-receiver-analyst-26703429396.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485830-200x200.jpg?v=1777089613","Inventory Receiver Analyst","CÔNG TY TNHH 2AE VENTURES","18 - 25 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-content-creator-livestream-26700306226.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/279335-200x200.jpg?v=1741597306","Nhân Viên Content Creator & Livestream","Hộ Kinh Doanh Shop Bé Con","7 - 10 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","8 ngày trước"
"https://jobsgo.vn/viec-lam/nhan-vien-van-hanh-san-tmdt-shop-my-pham-26700211173.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/340436-200x200.jpg?v=1755043211","Nhân Viên Vận Hành Sàn TMĐT Shop Mỹ Phẩm","HỘ KINH DOANH MARIE JAPAN","8 - 11 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","8 ngày trước"
"https://jobsgo.vn/viec-lam/mep-project-engineer-26699885277.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485785-200x200.jpg?v=1777053655","MEP Project Engineer","SNK Asia Pacific VN CO., LTD","Thỏa thuận","Đồng Nai, Bình Dương,...","Full-time","Không yêu cầu","9 ngày trước"
"https://jobsgo.vn/viec-lam/infrastructure-civil-engineer-26699817382.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485798-200x200.jpg?v=1777053689","Infrastructure/civil Engineer","Arup Vietnam Limited (Arup)","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","9 ngày trước"
"https://jobsgo.vn/viec-lam/bim-modeller-mep-26699830961.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485798-200x200.jpg?v=1777053689","BIM Modeller (MEP)","Arup Vietnam Limited (Arup)","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","9 ngày trước"
"https://jobsgo.vn/viec-lam/middle-senior-backend-engineer-python-26699790224.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485780-200x200.jpg?v=1777053642","Middle/Senior Backend Engineer (Python)","CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ RRVN","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","9 ngày trước"
"https://jobsgo.vn/viec-lam/investment-analyst-26699722329.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485772-200x200.jpg?v=1777053621","Investment Analyst","Flatto Investment & Consulting Co., Ltd.","30 - 50 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","9 ngày trước"
